MA-L,001A92,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou Taipei  TW 112 "
MA-L,0011D8,ASUSTek COMPUTER INC.,"No.150, Li-Te Rd., Peitou Taipei  TW 112 "
MA-L,14DAE9,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou, Taipei  TW 112 "
MA-L,F832E4,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,305A3A,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,D850E6,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,74D02B,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,C86000,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,00040F,"Asus Network Technologies, Inc.","11-1, No. 675, Sec. 1, King-kuo Rd., TAIWAN TAIWAN TW R.O.C. "
MA-L,FCC233,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,581122,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,244BFE,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,2CFDA1,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,AC9E17,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,001FC6,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan Taipei Taiwan TW 112 "
MA-L,708BCD,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
MA-L,3085A9,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou Taipei  US 112 "
MA-L,001731,ASUSTek COMPUTER INC.,"No.5 Shing Yeh Street,Kwei Shan Hsiang,Taoyuan Taipei  TW 333 "
MA-L,002215,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou, Taipei  TW 112 "
MA-L,E0CB4E,ASUSTek COMPUTER INC.,"15,Li-Te Rd.,Peitou,Taipei 112 ,Taiwan Taipei Taiwan TW 112 "
MA-L,F07959,ASUSTek COMPUTER INC.,"15,Li-Te Rd., Peitou, Taipei 112, Taiwan Taipei Taiwan TW 112 "
